 ,H2,CH4,CO2,Acetate,Propionate,Isobutyrate,Butyrate,Fiber_uptake,Fiber_input,Fiber_left
3-Cell-GC,0.001780982,3.01E-06,0.002897599,0.021664028,0.000634748,0.000466,0.002816562,0.22,0.22,0
4-Cell-GC,6.26E-05,0.00080988,0.001328115,0.003338246,0.000667987,2.39E-04,0.001113932,0.22,0.22,0
5-Cell-GC,0.000700965,5.05E-06,0.00118027,0.003721331,0.001339967,0.000284136,0.001797178,0.22,0.22,0
6-Cell-GC,0.001696823,1.18E-05,0.001568635,0.00795701,0.002132145,1.37E-04,0.003320508,0.22,0.22,0
7-Cell-GC,0.000216359,1.43E-05,0.000789649,0.004106496,0.001854694,0.000267882,0.002560896,0.22,0.22,0
8-Cell-GC,0.000536591,9.30E-06,0.007004962,0.002852666,0.000453384,4.23E-05,0.000606714,0.22,0.22,0
9-Cell-GC,7.47E-05,0.000382431,0.00100714,0.00364341,0.000527402,1.25E-04,0.000843419,0.22,0.22,0
HH-Cell-GC,0.000525073,3.71E-06,0.001276306,0.002949383,0.000218048,4.88E-05,0.000408163,0.22,0.22,0
II-Cell-GC,0.00062669,1.09E-06,0.001236538,0.009764645,0.001083986,6.42E-05,0.001023139,0.22,0.22,0
3-Inul-GC,0.002095986,2.23E-06,0.002588559,0.022121525,0.002215594,0.000272359,0.014109558,0.109842593,0.11,0.000157407
4-Inul-GC,4.38E-05,0.000461086,0.002864522,0.011684516,0.00188686,0.000363539,0.004126729,0.109097593,0.11,0.000902407
5-Inul-GC,0.001705003,4.82E-06,0.001545095,0.003842886,0.001542261,0.000288594,0.004936797,0.109767963,0.11,0.000232037
6-Inul-GC,0.002518557,7.08E-06,0.006305011,0.005225916,0.001694367,0.000138002,0.005868288,0.109236111,0.11,0.000763889
7-Inul-GC,0.000218763,5.48E-06,0.002944313,0.004092975,0.002052629,0.00024367,0.008338276,0.109616852,0.11,0.000383148
8-Inul-GC,0.001757965,9.23E-06,0.006424014,0.003598179,0.001399603,5.45E-05,0.004792398,0.098888889,0.11,0.011111111
9-Inul-GC,6.70E-05,0.000458525,0.002862611,0.006561257,0.003930112,0.000175687,0.008590318,0.109972778,0.11,2.72222E-05
HH-Inul-GC,0.001577897,4.74E-06,0.002260197,0.003127336,0.000504308,1.46E-05,0.003128433,0.098888889,0.11,0.011111111
II-Inul-GC,0.001226127,0.000504725,0.001486085,0.00894078,0.001229667,0.000162888,0.004225623,0.107487407,0.11,0.002512593
3-Pect-GC,0.001658327,2.17E-06,0.002571959,0.021619785,0.000783639,0.00029188,0.002716323,0.051,0.051,0
4-Pect-GC,4.96E-05,0.001040858,0.003037711,0.002100879,0.000685242,0.000239648,0.001348872,0.051,0.051,0
5-Pect-GC,0.000147085,4.23E-06,0.004206436,0.010993089,0.00442292,0.000316131,0.004744081,0.051,0.051,0
6-Pect-GC,0.001605088,1.03E-05,0.001237463,0.00687684,0.002379961,1.78E-04,0.009538881,0.051,0.051,0
7-Pect-GC,0.00028702,8.11E-06,0.010577614,0.005056261,0.002854541,0.000299282,0.005769395,0.051,0.051,0
8-Pect-GC,0.00047926,9.68E-06,0.007367119,0.002787794,0.00082285,3.98E-05,0.002925868,0.051,0.051,0
9-Pect-GC,3.05E-05,0.000616675,0.002434204,0.0043358,0.000416015,7.92E-05,0.000560651,0.051,0.051,0
HH-Pect-GC,0.000630947,4.01E-06,0.002151697,0.005202357,6.30E-04,0.000302772,0.003743793,0.051,0.051,0
II-Pect-GC,0.000343163,2.83E-06,0.002431626,0.011966117,0.001552998,7.22E-05,0.004746565,0.051,0.051,0
